id,nome,settore_di_mercato,descrizione,finanziamenti,numero_investitori,valore_startup,valore_mercato_totale,numero_brevetti,numero_prodotti_attivi,stage,media_fatturato,tasso_di_crescita_dip,anni_di_attività,anno_creazione,città,stato,continente,budget_formazione,nuova_tecnologia,tipo_di_miglioramento_tecnologia,incremento_tec,numero_operatori,dip_ingegneri,dip_business,dip_vendite,dip_design,dip_informatica,dip_amministrativo,dip_controllo_qualità,dip_ricerca,dip_risorseumane,dip_assistenza,concorrente,fatturato_conc(B)
189,compa,tech,confronta i prezzi di roba tecnologica,17M,13,100M,20B,18,19,series,7.6M,+76%,4,2020,Fountain Valley,California,North America,23K,piattaforma per ottimizzazione tariffe,efficienza,+10%,6,15,9,10,2,11,3,0,2,8,0,Freightos,0.07
190,fathomhealth,tech,legge e comprende dati medici,60M,11,300M,500B,15,24,series,13.6M,+76%,9,2015,San Francisco,California,North America,35K,addestramento con deep learning,tempi,-15%,4,46,15,4,0,7,3,4,0,3,6,Anduril,8.5B
191,metropolis,tech,AI applicata alla vendita delle case,1.9B,18,4.5B,500B,24,16,series,112M,+5%,7,2017,New York,New York,North America,100K,gestione edifici con AI,efficienza,+15%,261,72,67,61,14,48,26,0,20,38,117,Anduril,8.5
192,persona identities,tech,specializzata in gestione delle identità,217M,7,1.5B,225B,18,23,series,80M,+24%,6,2018,San Francisco,California,North America,57K,verifica biometrica,sicurezza,+20%,28,95,36,48,14,36,5,0,0,8,23,Onfido,0.23
193,rattle,tech,automatizza incassi dei team,28.8M,9,250M,70B,17,25,series,17.5M,+70%,4,2020,Bengaluru,India,Asia, 24K,algoritmi per pulizia di dati,tempi,-20%,9,22,17,6,4,4,0,2,0,0,9,alteryx,0.5
194,alteryx,tech,si concentra sui dati e sull'automazione analitica,163M,7,3.9B,35B,14,46,series,522M,-13%,27,1997,Irvine,California,North America,250K,interfaccia cloud,efficienza,+20%,159,590,238,612,56,291,57,0,60,88,143,Tableau,1.3B
195,snorkel ai,tech,etichetta i dati con AI,135M,13,1B,500B,32,21,series,22M,+13%,5,2019,Redwood,California,North America,80K,piattaforma per etichettare dati,tempi,-30%,9,63,18,20,7,15,4,0,15,13,0,labelbox,0.024
196,swimlane,tech,AI usata per individuare minacce,148M,6,500M,225B,15,24,series,55M,+8%,10,2014,Louisville,Colorado,North America,50K,automazione orchestrata,sicurezza,+20%,15,89,23,27,61,2,6,0,0,3,15,splunk,3.7
197,aisera,tech,AI usata per fare compiti ripetitivi,180M,16,750M,500B,12,25,series,44M,+6%,7,2017,Palo Alto,California,North America,35K,helpdesk artificiale,costi,-15%,14,123,29,48,0,25,5,11,0,8,26,ServiceNow,5.5B
198,spycloud,tech,protegge l'identità nel settore della cybersecurity,203M,11,900M,225B,25,14,series,50M,+27%,8,2016,Austin,Texas,North America,40K,gestione identità compromessa,sicurezza,+20%,20,37,37,42,6,35,5,0,0,7,15,dashlane,0.06
199,vendelux,tech,AI usata per organizzare eventi tecnologici,16.3M,14,60M,500B,12,23,series,16.4M,+114%,3,2021,New York,New York,North America,24K,piattaforma che analizza i dati degli eventi,efficienza,+15%,14,13,9,12,3,9,1,0,2,4,4,cvent,1.2
200,hebbia,tech,AI che aiuta l'utente ad estrarre strutturare e analizzare documenti,161M,13,700M,500B,12,23,series,8.4M,+158%,4,2020,New York,New York,North America,60K,ricerca con intelligenza artificiale,tempi,-40%,8,19,12,16,0,5,3,0,0,8,4,Sinequa,0.32
